Users	Throughput	ResponseTime	Utilization
1	0.8008	0.5046	0.4045
2	1.5950	0.5209	0.7981
3	2.3870	0.5431	1.1990
4	3.1781	0.5574	1.5746
5	3.9606	0.5916	1.9854
6	4.7610	0.6142	2.3604
7	5.5325	0.6430	2.7542
8	6.3050	0.6708	3.1258
9	7.0522	0.7214	3.5576
10	7.8332	0.7557	3.8964
11	8.5864	0.7898	4.2766
12	9.3250	0.8405	4.6350
13	10.0698	0.8900	5.0486
14	10.8151	0.9591	5.4089
15	11.4995	1.0232	5.7697
16	12.1883	1.1005	6.1037
17	12.8924	1.1254	6.4021
18	13.5857	1.2437	6.7802
19	14.1781	1.3370	7.1319
20	14.8486	1.4308	7.4113
21	15.4387	1.5550	7.6508
22	15.9413	1.7607	7.9876
23	16.5312	1.8778	8.2724
24	17.0225	2.0607	8.5117
25	17.5268	2.2652	8.7784
26	17.9775	2.4699	8.9339
27	18.3292	2.6799	9.1138
28	18.7088	2.9293	9.2752
29	18.9021	3.2882	9.4102
30	19.0650	3.6710	9.6013
31	19.4238	3.9251	9.6814
32	19.4504	4.3140	9.7243
33	19.6502	4.7017	9.7930
34	20.1178	4.8516	9.8442
35	19.8792	5.5544	9.8809
36	19.9590	5.9445	9.9279
37	19.8047	6.5763	9.9431
38	20.0204	6.8995	9.9582
39	20.0217	7.3663	9.9550
40	19.6447	8.2016	9.9662
41	20.0910	8.2337	9.9788
42	19.9721	8.8560	9.9718
43	20.1030	9.2721	9.9901
44	19.9257	9.8649	9.9831
45	19.8585	10.4839	9.9872
46	19.9524	10.8889	9.9860
47	20.2421	11.0800	9.9846
48	20.0015	11.8320	9.9913
49	20.0504	12.1779	9.9911
50	19.9734	12.8286	9.9866
51	20.1047	13.1572	9.9866
52	20.0295	13.7472	9.9890
53	19.8339	14.4645	9.9856
54	20.3457	14.2863	9.9884
55	19.9272	15.3476	9.9892
56	19.9968	15.7863	9.9914
57	20.0433	16.2079	9.9939
58	20.0844	16.6290	9.9905
59	20.1161	17.1014	9.9919
60	20.1417	17.4659	9.9910
